ironbow,white_hot,black_hot,rainbow,hog,mellow_yellow
0xff32e5ff,0xffb2b2b2,0xff525252,0xff9b6400,0xff6363fa,0xff67adbe
0xff3fe8ff,0xffb4b4b4,0xff505050,0xff976800,0xff6061fa,0xff68aebf
0xff4bebff,0xffb6b6b6,0xff4f4f4f,0xff936c00,0xff5e5ffa,0xff69afc0
0xff58eeff,0xffb8b8b8,0xff4d4d4d,0xff8f7000,0xff5c5dfa,0xff6ab1c1
0xff66efff,0xffbababa,0xff4b4b4b,0xff8b7400,0xff5a5bfa,0xff6bb2c2
0xff74f1ff,0xffbcbcbc,0xff494949,0xff877800,0xff5758fa,0xff6cb3c3
0xff86f2ff,0xffbebebe,0xff484848,0xff837c00,0xff5556fa,0xff6cb5c4
0xff95f4ff,0xffc0c0c0,0xff464646,0xff7f8000,0xff5354fa,0xff6db6c5
0xffa4f5ff,0xffc2c2c2,0xff444444,0xff7b8400,0xff5052fa,0xff6eb7c6
0xffb3f7ff,0xffc4c4c4,0xff434343,0xff778800,0xff4e50fa,0xff6fb9c7
0xffc0f8ff,0xffc6c6c6,0xff414141,0xff738c00,0xff4c4dfa,0xff70bac8
0xffcbf9ff,0xffc8c8c8,0xff3f3f3f,0xff6f9000,0xff4a4bfa,0xff71bbc9
0xffd8fbff,0xffcacaca,0xff3d3d3d,0xff6b9400,0xff4749fa,0xff71bdcb
0xffe4fdff,0xffcccccc,0xff3c3c3c,0xff679800,0xff4547fa,0xff72becc
0xffeffeff,0xffcecece,0xff3a3a3a,0xff639c00,0xff4345fa,0xff73bfcd
0xfff9ffff,0xffd0d0d0,0xff383838,0xff5fa000,0xff4143fa,0xff74c1ce
0xfff9ffff,0xffd2d2d2,0xff373737,0xff5ba400,0xff3e40fa,0xff75c2cf
0xfff9ffff,0xffd4d4d4,0xff353535,0xff57a800,0xff3c3efa,0xff76c3d0
0xfff9ffff,0xffd6d6d6,0xff333333,0xff53ac00,0xff3a3cfa,0xff76c5d1
0xfff9ffff,0xffd8d8d8,0xff313131,0xff4fb000,0xff373afa,0xff77c6d2
0xfff9ffff,0xffdadada,0xff303030,0xff4bb400,0xff3538fa,0xff78c7d3
0xfff9ffff,0xffdcdcdc,0xff2e2e2e,0xff47b800,0xff3335fa,0xff79c9d4
0xfff9ffff,0xffdedede,0xff2c2c2c,0xff43bc00,0xff3133fa,0xff7acad5
0xfff9ffff,0xffe0e0e0,0xff2b2b2b,0xff3fc000,0xff2e31fa,0xff7bccd6
0xfff9ffff,0xffe2e2e2,0xff292929,0xff3bc400,0xff2c2ffa,0xff7bcdd7
0xfff9ffff,0xffe4e4e4,0xff272727,0xff37c800,0xff2a2dfa,0xff7cced8
0xfff9ffff,0xffe6e6e6,0xff252525,0xff33cc00,0xff272afa,0xff7dd0d9
0xfff9ffff,0xffe8e8e8,0xff242424,0xff2fd000,0xff2528fa,0xff7ed1da
0xfff9ffff,0xffeaeaea,0xff222222,0xff2bd400,0xff2326fa,0xff7fd2db
0xfff9ffff,0xffececec,0xff202020,0xff27d800,0xff2124fa,0xff80d4dc
0xfff9ffff,0xffeeeeee,0xff1e1e1e,0xff23dc00,0xff1e22fa,0xff80d5de
0xfff9ffff,0xfff0f0f0,0xff1d1d1d,0xff1fe000,0xff1c1ffa,0xff81d6df
0xfff9ffff,0xfff2f2f2,0xff1b1b1b,0xff1be400,0xff1a1dfa,0xff82d8e0
0xfff9ffff,0xfff4f4f4,0xff191919,0xff17e800,0xff171bfa,0xff83d9e1
0xfff9ffff,0xfff6f6f6,0xff181818,0xff13ec00,0xff1519fa,0xff84dae2
0xfff9ffff,0xfff8f8f8,0xff161616,0xff0ff000,0xff1317fa,0xff85dce3
0xfff9ffff,0xfffafafa,0xff141414,0xff0bf400,0xff1114fa,0xff85dde4
0xfff9ffff,0xfffcfcfc,0xff121212,0xff07f800,0xff0e12fa,0xff86dee5
0xfff9ffff,0xfffefefe,0xff111111,0xff03fc00,0xff0c10fa,0xff87e0e6
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff00,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff04,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff08,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff0c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff10,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff14,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff18,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff1c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff20,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff24,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff28,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff2c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff30,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff34,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff38,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff3c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff40,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff44,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff48,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff4c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff50,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff54,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff58,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff5c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff60,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff64,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff68,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff6c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff70,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff74,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff78,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff7c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff80,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff84,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff88,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff8c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff90,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff94,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff98,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ff9c,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffa0,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffa4,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffa8,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffac,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffb0,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffb4,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffb8,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffbc,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffc0,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffc4,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffc8,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffcc,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffd0,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffd4,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffd8,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffdc,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffe0,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffe4,0xff0c10fa,0xff88e1e7
